SEQUENCE,CLASSIFICATION
SRR20766474.358.1,Non-viral
SRR20766474.359.1,Non-viral
SRR20766474.361.1,Non-viral
SRR20766474.365.1,Non-viral
SRR20766474.370.1,Non-viral
SRR20766474.371.1,Non-viral
SRR20766474.372.1,Non-viral
SRR20766474.375.1,Non-viral
SRR20766474.380.1,Non-viral
SRR20766474.381.1,Non-viral
SRR20766474.382.1,Non-viral
SRR20766474.383.1,Non-viral
SRR20766474.384.1,Non-viral
SRR20766474.390.1,Non-viral
SRR20766474.392.1,Non-viral
SRR20766474.393.1,Non-viral
SRR20766474.399.1,Non-viral
SRR20766474.400.1,Non-viral
SRR20766474.403.1,Non-viral
SRR20766474.405.1,Non-viral
SRR20766474.407.1,Non-viral
SRR20766474.408.1,Non-viral
SRR20766474.410.1,Non-viral
SRR20766474.411.1,Non-viral
SRR20766474.415.1,Non-viral
SRR20766474.416.1,Non-viral
SRR20766474.420.1,Non-viral
SRR20766474.422.1,Non-viral
SRR20766474.426.1,Non-viral
SRR20766474.428.1,Non-viral
SRR20766474.429.1,Non-viral
SRR20766474.430.1,Non-viral
SRR20766474.431.1,Non-viral
SRR20766474.434.1,Non-viral
SRR20766474.437.1,Non-viral
SRR20766474.438.1,Non-viral
SRR20766474.440.1,Non-viral
SRR20766474.441.1,Non-viral
SRR20766474.442.1,Non-viral
SRR20766474.446.1,Non-viral
SRR20766474.449.1,Non-viral
SRR20766474.452.1,Non-viral
SRR20766474.455.1,Non-viral
SRR20766474.456.1,Non-viral
SRR20766474.458.1,Non-viral
SRR20766474.461.1,Non-viral
SRR20766474.463.1,Non-viral
SRR20766474.468.1,Non-viral
SRR20766474.473.1,Non-viral
SRR20766474.474.1,Non-viral
SRR20766474.478.1,Non-viral
SRR20766474.479.1,Non-viral
SRR20766474.480.1,Non-viral
SRR20766474.482.1,Non-viral
SRR20766474.485.1,Non-viral
SRR20766474.488.1,Non-viral
SRR20766474.492.1,Non-viral
SRR20766474.493.1,Non-viral
SRR20766474.497.1,Non-viral
SRR20766474.502.1,Non-viral
SRR20766474.503.1,Non-viral
SRR20766474.507.1,Non-viral
SRR20766474.511.1,Non-viral
SRR20766474.515.1,Non-viral
SRR20766474.520.1,Non-viral
SRR20766474.521.1,Non-viral
SRR20766474.527.1,Non-viral
SRR20766474.529.1,Non-viral
SRR20766474.530.1,Non-viral
SRR20766474.531.1,Non-viral
SRR20766474.537.1,Non-viral
SRR20766474.539.1,Non-viral
SRR20766474.541.1,Non-viral
SRR20766474.542.1,Non-viral
SRR20766474.544.1,Non-viral
SRR20766474.546.1,Non-viral
SRR20766474.547.1,Non-viral
SRR20766474.549.1,Non-viral
SRR20766474.555.1,Non-viral
SRR20766474.557.1,Non-viral
SRR20766474.558.1,Non-viral
SRR20766474.559.1,Non-viral
SRR20766474.562.1,Non-viral
SRR20766474.565.1,Non-viral
SRR20766474.566.1,Non-viral
SRR20766474.569.1,Non-viral
SRR20766474.570.1,Non-viral
SRR20766474.574.1,Non-viral
SRR20766474.580.1,Non-viral
SRR20766474.581.1,Non-viral
SRR20766474.583.1,Non-viral
SRR20766474.585.1,Non-viral
SRR20766474.586.1,Non-viral
SRR20766474.591.1,Non-viral
SRR20766474.594.1,Non-viral
SRR20766474.596.1,Non-viral
SRR20766474.597.1,Non-viral
SRR20766474.598.1,Non-viral
SRR20766474.600.1,Non-viral
SRR20766474.605.1,Non-viral
SRR20766474.606.1,Non-viral
SRR20766474.607.1,Non-viral
SRR20766474.608.1,Non-viral
SRR20766474.610.1,Non-viral
SRR20766474.613.1,Non-viral
SRR20766474.616.1,Non-viral
SRR20766474.618.1,Non-viral
SRR20766474.621.1,Non-viral
SRR20766474.623.1,Non-viral
SRR20766474.625.1,Non-viral
SRR20766474.631.1,Non-viral
SRR20766474.633.1,Non-viral
SRR20766474.640.1,Non-viral
SRR20766474.641.1,Non-viral
SRR20766474.648.1,Non-viral
SRR20766474.653.1,Non-viral
SRR20766474.656.1,Non-viral
SRR20766474.658.1,Non-viral
SRR20766474.665.1,Non-viral
SRR20766474.666.1,Non-viral
SRR20766474.671.1,Non-viral
SRR20766474.672.1,Non-viral
SRR20766474.673.1,Non-viral
SRR20766474.674.1,Non-viral
SRR20766474.679.1,Non-viral
SRR20766474.680.1,Non-viral
SRR20766474.681.1,Non-viral
SRR20766474.683.1,Non-viral
SRR20766474.686.1,Non-viral
SRR20766474.687.1,Non-viral
SRR20766474.689.1,Non-viral
SRR20766474.691.1,Non-viral
SRR20766474.694.1,Non-viral
SRR20766474.696.1,Non-viral
SRR20766474.698.1,Non-viral
SRR20766474.700.1,Non-viral
SRR20766474.701.1,Non-viral
SRR20766474.707.1,Non-viral
SRR20766474.708.1,Non-viral
SRR20766474.709.1,Non-viral
SRR20766474.710.1,Non-viral
SRR20766474.715.1,Non-viral
SRR20766474.721.1,Non-viral
SRR20766474.724.1,Non-viral
SRR20766474.726.1,Non-viral
SRR20766474.727.1,Non-viral
SRR20766474.735.1,Non-viral
SRR20766474.738.1,Non-viral
SRR20766474.740.1,Non-viral
SRR20766474.743.1,Non-viral
SRR20766474.745.1,Non-viral
SRR20766474.746.1,Non-viral
SRR20766474.748.1,Non-viral
SRR20766474.751.1,Non-viral
SRR20766474.752.1,Non-viral
SRR20766474.757.1,Non-viral
SRR20766474.758.1,Non-viral
SRR20766474.762.1,Non-viral
SRR20766474.767.1,Non-viral
SRR20766474.768.1,Non-viral
SRR20766474.770.1,Non-viral
SRR20766474.773.1,Non-viral
SRR20766474.774.1,Non-viral
SRR20766474.776.1,Non-viral
SRR20766474.777.1,Non-viral
SRR20766474.780.1,Non-viral
SRR20766474.781.1,Non-viral
SRR20766474.786.1,Non-viral
SRR20766474.787.1,Non-viral
SRR20766474.792.1,Non-viral
SRR20766474.793.1,Non-viral
SRR20766474.794.1,Non-viral
SRR20766474.796.1,Non-viral
SRR20766474.799.1,Non-viral
SRR20766474.802.1,Non-viral
SRR20766474.803.1,Non-viral
SRR20766474.804.1,Non-viral
SRR20766474.805.1,Non-viral
SRR20766474.808.1,Non-viral
SRR20766474.809.1,Non-viral
SRR20766474.810.1,Non-viral
SRR20766474.813.1,Non-viral
SRR20766474.816.1,Non-viral
SRR20766474.819.1,Non-viral
SRR20766474.821.1,Non-viral
SRR20766474.822.1,Non-viral
SRR20766474.823.1,Non-viral
SRR20766474.824.1,Non-viral
SRR20766474.826.1,Non-viral
SRR20766474.827.1,Non-viral
SRR20766474.829.1,Non-viral
SRR20766474.832.1,Non-viral
SRR20766474.834.1,Non-viral
SRR20766474.835.1,Non-viral
SRR20766474.836.1,Non-viral
SRR20766474.837.1,Non-viral
SRR20766474.840.1,Non-viral
SRR20766474.842.1,Non-viral
SRR20766474.848.1,Non-viral
SRR20766474.850.1,Non-viral
SRR20766474.851.1,Non-viral
SRR20766474.852.1,Non-viral
SRR20766474.853.1,Non-viral
SRR20766474.860.1,Non-viral
SRR20766474.862.1,Non-viral
SRR20766474.867.1,Non-viral
SRR20766474.871.1,Non-viral
SRR20766474.872.1,Non-viral
SRR20766474.875.1,Non-viral
SRR20766474.878.1,Non-viral
SRR20766474.879.1,Non-viral
SRR20766474.880.1,Non-viral
SRR20766474.889.1,Non-viral
SRR20766474.896.1,Non-viral
SRR20766474.897.1,Non-viral
SRR20766474.899.1,Non-viral
SRR20766474.906.1,Non-viral
SRR20766474.907.1,Non-viral
SRR20766474.910.1,Non-viral
SRR20766474.912.1,Non-viral
SRR20766474.914.1,Non-viral
SRR20766474.915.1,Non-viral
SRR20766474.920.1,Non-viral
SRR20766474.926.1,Non-viral
SRR20766474.927.1,Non-viral
SRR20766474.930.1,Non-viral
SRR20766474.931.1,Non-viral
SRR20766474.940.1,Non-viral
SRR20766474.942.1,Non-viral
SRR20766474.944.1,Non-viral
SRR20766474.951.1,Non-viral
SRR20766474.956.1,Non-viral
SRR20766474.958.1,Non-viral
SRR20766474.959.1,Non-viral
SRR20766474.963.1,Non-viral
SRR20766474.964.1,Non-viral
SRR20766474.966.1,Non-viral
SRR20766474.973.1,Non-viral
SRR20766474.976.1,Non-viral
SRR20766474.978.1,Non-viral
SRR20766474.981.1,Non-viral
SRR20766474.982.1,Non-viral
SRR20766474.983.1,Non-viral
SRR20766474.987.1,Non-viral
SRR20766474.991.1,Non-viral
SRR20766474.992.1,Non-viral
SRR20766474.994.1,Non-viral
SRR20766474.998.1,Non-viral
SRR20766474.1003.1,Non-viral
SRR20766474.1008.1,Non-viral
SRR20766474.1009.1,Non-viral
SRR20766474.1013.1,Non-viral
SRR20766474.1015.1,Non-viral
SRR20766474.1018.1,Non-viral
SRR20766474.1020.1,Non-viral
SRR20766474.1023.1,Non-viral
SRR20766474.1025.1,Non-viral
SRR20766474.1028.1,Non-viral
SRR20766474.1031.1,Non-viral
SRR20766474.1034.1,Non-viral
SRR20766474.1037.1,Non-viral
SRR20766474.1038.1,Non-viral
SRR20766474.1042.1,Non-viral
SRR20766474.1045.1,Non-viral
SRR20766474.1047.1,Non-viral
SRR20766474.1049.1,Non-viral
SRR20766474.1050.1,Non-viral
SRR20766474.1056.1,Non-viral
SRR20766474.1057.1,Non-viral
SRR20766474.1058.1,Non-viral
SRR20766474.1059.1,Non-viral
SRR20766474.1060.1,Non-viral
SRR20766474.1063.1,Non-viral
SRR20766474.1067.1,Non-viral
SRR20766474.1069.1,Non-viral
SRR20766474.1071.1,Non-viral
SRR20766474.1076.1,Non-viral
SRR20766474.1081.1,Non-viral
SRR20766474.1082.1,Non-viral
SRR20766474.1085.1,Non-viral
SRR20766474.1086.1,Non-viral
SRR20766474.1088.1,Non-viral
SRR20766474.1090.1,Non-viral
SRR20766474.1097.1,Non-viral
SRR20766474.1098.1,Non-viral
SRR20766474.1100.1,Non-viral
SRR20766474.1101.1,Non-viral
SRR20766474.1102.1,Non-viral
SRR20766474.1112.1,Non-viral
SRR20766474.1116.1,Non-viral
SRR20766474.1121.1,Non-viral
SRR20766474.1127.1,Non-viral
SRR20766474.1132.1,Non-viral
SRR20766474.1134.1,Non-viral
SRR20766474.1140.1,Non-viral
SRR20766474.1142.1,Non-viral
SRR20766474.1144.1,Non-viral
SRR20766474.1145.1,Non-viral
SRR20766474.1150.1,Non-viral
SRR20766474.1151.1,Non-viral
SRR20766474.1152.1,Non-viral
SRR20766474.1153.1,Non-viral
SRR20766474.1155.1,Non-viral
SRR20766474.1156.1,Non-viral
SRR20766474.1157.1,Non-viral
SRR20766474.1163.1,Non-viral
SRR20766474.1167.1,Non-viral
SRR20766474.1168.1,Non-viral
SRR20766474.1170.1,Non-viral
SRR20766474.1177.1,Non-viral
SRR20766474.1178.1,Non-viral
SRR20766474.1179.1,Non-viral
SRR20766474.1180.1,Non-viral
SRR20766474.1182.1,Non-viral
SRR20766474.1184.1,Non-viral
SRR20766474.1186.1,Non-viral
SRR20766474.1190.1,Non-viral
SRR20766474.1191.1,Non-viral
SRR20766474.1195.1,Non-viral
SRR20766474.1198.1,Non-viral
SRR20766474.1199.1,Non-viral
SRR20766474.1204.1,Non-viral
SRR20766474.1217.1,Non-viral
SRR20766474.1219.1,Non-viral
SRR20766474.1220.1,Non-viral
SRR20766474.1221.1,Non-viral
SRR20766474.1222.1,Non-viral
SRR20766474.1225.1,Non-viral
SRR20766474.1226.1,Non-viral
SRR20766474.1228.1,Non-viral
SRR20766474.1230.1,Non-viral
SRR20766474.1231.1,Non-viral
SRR20766474.1235.1,Non-viral
SRR20766474.1237.1,Non-viral
SRR20766474.1239.1,Non-viral
SRR20766474.1245.1,Non-viral
SRR20766474.1246.1,Non-viral
SRR20766474.1252.1,Non-viral
SRR20766474.1254.1,Non-viral
SRR20766474.1256.1,Non-viral
SRR20766474.1260.1,Non-viral
SRR20766474.1261.1,Non-viral
SRR20766474.1262.1,Non-viral
SRR20766474.1263.1,Non-viral
SRR20766474.1265.1,Non-viral
SRR20766474.1268.1,Non-viral
SRR20766474.1269.1,Non-viral
SRR20766474.1270.1,Non-viral
SRR20766474.1274.1,Non-viral
SRR20766474.1276.1,Non-viral
SRR20766474.1277.1,Non-viral
SRR20766474.1279.1,Non-viral
SRR20766474.1281.1,Non-viral
SRR20766474.1283.1,Non-viral
SRR20766474.1287.1,Non-viral
SRR20766474.1290.1,Non-viral
SRR20766474.1291.1,Non-viral
SRR20766474.1293.1,Non-viral
SRR20766474.1295.1,Non-viral
SRR20766474.1300.1,Non-viral
SRR20766474.1301.1,Non-viral
SRR20766474.1302.1,Non-viral
SRR20766474.1304.1,Non-viral
SRR20766474.1306.1,Non-viral
SRR20766474.1307.1,Non-viral
SRR20766474.1310.1,Non-viral
SRR20766474.1314.1,Non-viral
SRR20766474.1315.1,Non-viral
SRR20766474.1318.1,Non-viral
SRR20766474.1322.1,Non-viral
SRR20766474.1323.1,Non-viral
SRR20766474.1324.1,Non-viral
SRR20766474.1330.1,Non-viral
SRR20766474.1332.1,Non-viral
SRR20766474.1333.1,Non-viral
SRR20766474.1334.1,Non-viral
SRR20766474.1337.1,Non-viral
SRR20766474.1339.1,Non-viral
SRR20766474.1341.1,Non-viral
SRR20766474.1343.1,Non-viral
SRR20766474.1345.1,Non-viral
SRR20766474.1346.1,Non-viral
SRR20766474.1347.1,Non-viral
SRR20766474.1352.1,Non-viral
SRR20766474.1358.1,Non-viral
SRR20766474.1359.1,Non-viral
SRR20766474.1360.1,Non-viral
SRR20766474.1364.1,Non-viral
SRR20766474.1366.1,Non-viral
SRR20766474.1367.1,Non-viral
SRR20766474.1368.1,Non-viral
SRR20766474.1371.1,Non-viral
SRR20766474.1374.1,Non-viral
SRR20766474.1375.1,Non-viral
SRR20766474.1378.1,Non-viral
SRR20766474.1379.1,Non-viral
SRR20766474.1380.1,Non-viral
SRR20766474.1382.1,Non-viral
SRR20766474.1384.1,Non-viral
SRR20766474.1391.1,Non-viral
SRR20766474.1393.1,Non-viral
SRR20766474.1394.1,Non-viral
SRR20766474.1396.1,Non-viral
SRR20766474.1397.1,Non-viral
SRR20766474.1400.1,Non-viral
SRR20766474.1404.1,Non-viral
SRR20766474.1410.1,Non-viral
SRR20766474.1411.1,Non-viral
SRR20766474.1412.1,Non-viral
SRR20766474.1413.1,Non-viral
SRR20766474.1416.1,Non-viral
SRR20766474.1421.1,Non-viral
SRR20766474.1427.1,Non-viral
SRR20766474.1430.1,Non-viral
SRR20766474.1432.1,Non-viral
SRR20766474.1433.1,Non-viral
SRR20766474.1438.1,Non-viral
SRR20766474.1445.1,Non-viral
SRR20766474.1446.1,Non-viral
SRR20766474.1448.1,Non-viral
SRR20766474.1453.1,Non-viral
SRR20766474.1454.1,Non-viral
SRR20766474.1457.1,Non-viral
SRR20766474.1458.1,Non-viral
SRR20766474.1461.1,Non-viral
SRR20766474.1464.1,Non-viral
SRR20766474.1465.1,Non-viral
SRR20766474.1467.1,Non-viral
SRR20766474.1470.1,Non-viral
SRR20766474.1473.1,Non-viral
SRR20766474.1475.1,Non-viral
SRR20766474.1476.1,Non-viral
SRR20766474.1478.1,Non-viral
SRR20766474.1479.1,Non-viral
SRR20766474.1480.1,Non-viral
SRR20766474.1489.1,Non-viral
SRR20766474.1502.1,Non-viral
SRR20766474.1504.1,Non-viral
SRR20766474.1509.1,Non-viral
SRR20766474.1511.1,Non-viral
SRR20766474.1515.1,Non-viral
SRR20766474.1517.1,Non-viral
SRR20766474.1519.1,Non-viral
SRR20766474.1520.1,Non-viral
SRR20766474.1522.1,Non-viral
SRR20766474.1523.1,Non-viral
SRR20766474.1524.1,Non-viral
SRR20766474.1525.1,Non-viral
SRR20766474.1529.1,Non-viral
SRR20766474.1530.1,Non-viral
SRR20766474.1535.1,Non-viral
SRR20766474.1537.1,Non-viral
SRR20766474.1539.1,Non-viral
SRR20766474.1541.1,Non-viral
SRR20766474.1544.1,Non-viral
SRR20766474.1545.1,Non-viral
SRR20766474.1546.1,Non-viral
SRR20766474.1549.1,Non-viral
SRR20766474.1556.1,Non-viral
SRR20766474.1557.1,Non-viral
SRR20766474.1559.1,Non-viral
SRR20766474.1561.1,Non-viral
SRR20766474.1564.1,Non-viral
SRR20766474.1566.1,Non-viral
SRR20766474.1567.1,Non-viral
SRR20766474.1570.1,Non-viral
SRR20766474.1572.1,Non-viral
SRR20766474.1573.1,Non-viral
SRR20766474.1576.1,Non-viral
SRR20766474.1581.1,Non-viral
SRR20766474.1583.1,Non-viral
SRR20766474.1585.1,Non-viral
SRR20766474.1586.1,Non-viral
SRR20766474.1590.1,Non-viral
SRR20766474.1595.1,Non-viral
SRR20766474.1596.1,Non-viral
SRR20766474.1600.1,Non-viral
SRR20766474.1601.1,Non-viral
SRR20766474.1606.1,Non-viral
SRR20766474.1607.1,Non-viral
SRR20766474.1621.1,Non-viral
SRR20766474.1623.1,Non-viral
SRR20766474.1624.1,Non-viral
SRR20766474.1629.1,Non-viral
SRR20766474.1630.1,Non-viral
SRR20766474.1635.1,Non-viral
SRR20766474.1636.1,Non-viral
SRR20766474.1639.1,Non-viral
SRR20766474.1641.1,Non-viral
SRR20766474.1642.1,Non-viral
SRR20766474.1648.1,Non-viral
SRR20766474.1650.1,Non-viral
SRR20766474.1654.1,Non-viral
SRR20766474.1662.1,Non-viral
SRR20766474.1665.1,Non-viral
SRR20766474.1667.1,Non-viral
SRR20766474.1668.1,Non-viral
SRR20766474.1669.1,Non-viral
SRR20766474.1670.1,Non-viral
SRR20766474.1672.1,Non-viral
SRR20766474.1674.1,Non-viral
SRR20766474.1676.1,Non-viral
SRR20766474.1678.1,Non-viral
SRR20766474.1684.1,Non-viral
SRR20766474.1686.1,Non-viral
SRR20766474.1687.1,Non-viral
SRR20766474.1688.1,Non-viral
SRR20766474.1690.1,Non-viral
SRR20766474.1698.1,Non-viral
SRR20766474.1701.1,Non-viral
SRR20766474.1705.1,Non-viral
SRR20766474.1706.1,Non-viral
SRR20766474.1712.1,Non-viral
SRR20766474.1713.1,Non-viral
SRR20766474.1720.1,Non-viral
SRR20766474.1723.1,Non-viral
SRR20766474.1724.1,Non-viral
SRR20766474.1728.1,Non-viral
SRR20766474.1729.1,Non-viral
SRR20766474.1731.1,Non-viral
SRR20766474.1732.1,Non-viral
SRR20766474.1736.1,Non-viral
SRR20766474.1737.1,Non-viral
SRR20766474.1743.1,Non-viral
SRR20766474.1745.1,Non-viral
SRR20766474.1747.1,Non-viral
SRR20766474.1748.1,Non-viral
SRR20766474.1749.1,Non-viral
SRR20766474.1752.1,Non-viral
SRR20766474.1755.1,Non-viral
SRR20766474.1756.1,Non-viral
SRR20766474.1763.1,Non-viral
SRR20766474.1765.1,Non-viral
SRR20766474.1766.1,Non-viral
SRR20766474.1767.1,Non-viral
SRR20766474.1770.1,Non-viral
SRR20766474.1771.1,Non-viral
SRR20766474.1774.1,Non-viral
SRR20766474.1776.1,Non-viral
SRR20766474.1782.1,Non-viral
SRR20766474.1785.1,Non-viral
SRR20766474.1786.1,Non-viral
SRR20766474.1788.1,Non-viral
SRR20766474.1791.1,Non-viral
SRR20766474.1792.1,Non-viral
SRR20766474.1794.1,Non-viral
SRR20766474.1795.1,Non-viral
SRR20766474.1799.1,Non-viral
SRR20766474.1803.1,Non-viral
SRR20766474.1804.1,Non-viral
SRR20766474.1805.1,Non-viral
SRR20766474.1810.1,Non-viral
SRR20766474.1811.1,Non-viral
SRR20766474.1812.1,Non-viral
SRR20766474.1813.1,Non-viral
SRR20766474.1814.1,Non-viral
SRR20766474.1821.1,Non-viral
SRR20766474.1822.1,Non-viral
SRR20766474.1825.1,Non-viral
SRR20766474.1827.1,Non-viral
SRR20766474.1830.1,Non-viral
SRR20766474.1831.1,Non-viral
SRR20766474.1832.1,Non-viral
SRR20766474.1840.1,Non-viral
SRR20766474.1841.1,Non-viral
SRR20766474.1842.1,Non-viral
SRR20766474.1844.1,Non-viral
SRR20766474.1849.1,Non-viral
SRR20766474.1855.1,Non-viral
SRR20766474.1860.1,Non-viral
SRR20766474.1861.1,Non-viral
SRR20766474.1862.1,Non-viral
SRR20766474.1866.1,Non-viral
SRR20766474.1872.1,Non-viral
SRR20766474.1876.1,Non-viral
SRR20766474.1877.1,Non-viral
SRR20766474.1879.1,Non-viral
SRR20766474.1882.1,Non-viral
SRR20766474.1886.1,Non-viral
SRR20766474.1891.1,Non-viral
SRR20766474.1898.1,Non-viral
SRR20766474.1900.1,Non-viral
SRR20766474.1901.1,Non-viral
SRR20766474.1902.1,Non-viral
SRR20766474.1903.1,Non-viral
SRR20766474.1906.1,Non-viral
SRR20766474.1907.1,Non-viral
SRR20766474.1909.1,Non-viral
SRR20766474.1911.1,Non-viral
SRR20766474.1912.1,Non-viral
SRR20766474.1913.1,Non-viral
SRR20766474.1918.1,Non-viral
SRR20766474.1919.1,Non-viral
SRR20766474.1922.1,Non-viral
SRR20766474.1925.1,Non-viral
SRR20766474.1926.1,Non-viral
SRR20766474.1927.1,Non-viral
SRR20766474.1928.1,Non-viral
SRR20766474.1929.1,Non-viral
SRR20766474.1935.1,Non-viral
SRR20766474.1941.1,Non-viral
SRR20766474.1945.1,Non-viral
SRR20766474.1947.1,Non-viral
SRR20766474.1949.1,Non-viral
SRR20766474.1957.1,Non-viral
SRR20766474.1958.1,Non-viral
SRR20766474.1960.1,Non-viral
SRR20766474.1963.1,Non-viral
SRR20766474.1965.1,Non-viral
SRR20766474.1966.1,Non-viral
SRR20766474.1968.1,Non-viral
SRR20766474.1971.1,Non-viral
SRR20766474.1975.1,Non-viral
SRR20766474.1976.1,Non-viral
SRR20766474.1978.1,Non-viral
SRR20766474.1980.1,Non-viral
SRR20766474.1986.1,Non-viral
SRR20766474.1987.1,Non-viral
SRR20766474.1990.1,Non-viral
SRR20766474.1992.1,Non-viral
SRR20766474.1993.1,Non-viral
SRR20766474.1995.1,Non-viral
SRR20766474.1996.1,Non-viral
SRR20766474.1997.1,Non-viral
SRR20766474.1998.1,Non-viral
SRR20766474.2002.1,Non-viral
SRR20766474.2003.1,Non-viral
SRR20766474.2004.1,Non-viral
SRR20766474.2006.1,Non-viral
SRR20766474.2007.1,Non-viral
SRR20766474.2009.1,Non-viral
SRR20766474.2010.1,Non-viral
SRR20766474.2013.1,Non-viral
SRR20766474.2016.1,Non-viral
SRR20766474.2017.1,Non-viral
SRR20766474.2020.1,Non-viral
SRR20766474.2022.1,Non-viral
SRR20766474.2024.1,Non-viral
SRR20766474.2028.1,Non-viral
SRR20766474.2031.1,Non-viral
SRR20766474.2035.1,Non-viral
SRR20766474.2037.1,Non-viral
SRR20766474.2043.1,Non-viral
SRR20766474.2044.1,Non-viral
SRR20766474.2045.1,Non-viral
SRR20766474.2046.1,Non-viral
SRR20766474.2047.1,Non-viral
SRR20766474.2048.1,Non-viral
SRR20766474.2050.1,Non-viral
SRR20766474.2052.1,Non-viral
SRR20766474.2054.1,Non-viral
SRR20766474.2059.1,Non-viral
SRR20766474.2062.1,Non-viral
SRR20766474.2063.1,Non-viral
SRR20766474.2064.1,Non-viral
SRR20766474.2065.1,Non-viral
SRR20766474.2070.1,Non-viral
SRR20766474.2074.1,Non-viral
SRR20766474.2076.1,Non-viral
SRR20766474.2078.1,Non-viral
SRR20766474.2082.1,Non-viral
SRR20766474.2083.1,Non-viral
SRR20766474.2086.1,Non-viral
SRR20766474.2090.1,Non-viral
